'index','department code','chart type','description', 'data type'
AA00,Census Bureau,bar,% of US households by income in 2024,quant,
AA01,Census Bureau,line,% of US population for whom poverty status is determined (2016-2024),percent,
AA03,Census Bureau,bar,% of US population 25 years and over by highest educational attainment (2024),percent,
AA04,Census Bureau,bar,% of occupied units paying rent by gross rent (2024),percent,
AA05,Census Bureau,bar,% of women who had a birth in the past 12 months who were unmarried (2024),quant,
AA06,Census Bureau,bar,% of 16 years and over workers by work commute (2024),percent,
AA07,Census Bureau,bar,% of civilian employed population 16 years and over by work class (2024),percent,
BA00,Federal Elections Commission,bar,Total individual contributions ($) to presidential campaigns in 2021-2024,quant,
CA00,Energy Information Administration,bar,Net electricity generation for all sectors by thousand megawatthours (2024),quant,
CA01,Energy Information Administration,line,Average retail price of electricty (cents per kilowatthour),quant,
CA02,Energy Information Administration,line,Aggregate coal mine production for total (short tons),quant,
CA03,Energy Information Administration,bar,Renewable energy production estimates by source in 2023 (billion btu),quant,
CA04,Energy Information Administration,bar,Total energy consumption estimates by end-use sector in 2023 (billion btu),quant,
CA05,Energy Information Administration,bar,Number of retail electricity customers by sector in 2024,quant,
CA06,Energy Information Administration,line,Crude oil imports of all grades to US over time(thousand barrels),quant,
CA07,Energy Information Administration,bar,Crude oil imports of all grades to US by country(thousand barrels),quant,
CA08,Energy Information Administration,line,Total U.S. energy-related CO2 emissions (million metric tons),quant,
CA09,Energy Information Administration,bar,Total U.S. energy-related CO2 emissions by sector in 2024 (million metric tons),quant,

